"Life Stage
Group","Calcium
(mg/d)","Chromium
(μg/d)","Copper
(μg/d)","Fluoride
(mg/d)","Iodine
(μg/d)","Iron
(mg/d)","Magnesium
(mg/d)","Manganese
(mg/d)","lbdenum
(μg/d)","Phosphorus
(mg/d)","Selenium
(μg/d)","Zinc
(mg/d)","Potassium
(g/d)","Sodium
(g/d)","Chloride
(g/d)","Vitamin A
(μg/d)a","Vitamin C
(mg/d)","Vitamin D
(μg/d)b,c","Vitamin E
(mg/d)d","Vitamin K
(μg/d)","Thiamin
(mg/d)","Riboflavin
(mg/d)","Niacin
(mg/d)e","Vitamin B6
(mg/d)","Folate
(μg/d)f","Vitamin B12
(μg/d)","Pantothenic Acid
(mg/d)","Biotin
(μg/d)","Choline
(mg/d)g","Total Watera
(L/d)","Carbohdrate
(g/d)","Total Fiber
(g/d)","Fat
(g/d)","Linoleic Acid
(g/d)","α-Linolenic Acid
(g/d)","Proteinb
(g/d)",Infants,Children,Males,Females,Pregnanc,Lactation
0–6 ,200,0.2,200,0.01,110,0.27,30,0.003,2,100,15,2,0.4,0.12,0.18,400,40,10,4,2,0.2,0.3,2,0.1,65,0.4,1.7,5,125,0.7,60,ND,31,4.4,0.5,9.1,1,0,0,0,0,0
6–12 ,260,5.5,220,0.5,130,11,75,0.6,3,275,20,3,0.7,0.37,0.57,500,50,10,5,2.5,0.3,0.4,4,0.3,80,0.5,1.8,6,150,0.8,95,ND,30,4.6,0.5,11,1,0,0,0,0,0
1–3 ,700,11,340,0.7,90,7,80,1.2,17,460,20,3,3,1,1.5,300,15,15,6,30,0.5,0.5,6,0.5,150,0.9,2,8,200,1.3,130,19,NDc,7,0.7,13,0,1,0,0,0,0
4–8 ,"1,000",15,440,1,90,10,130,1.5,22,500,30,5,3.8,1.2,1.9,400,25,15,7,55,0.6,0.6,8,0.6,200,1.2,3,12,250,1.7,130,25,ND,10,0.9,19,0,1,0,0,0,0
9–13 ,"1,300",25,700,2,120,8,240,1.9,34,"1,250",40,8,4.5,1.5,2.3,600,45,15,11,60,0.9,0.9,12,1,300,1.8,4,20,375,2.4,130,31,ND,12,1.2,34,0,0,1,0,0,0
14–18 ,"1,300",35,890,3,150,11,410,2.2,43,"1,250",55,11,4.7,1.5,2.3,900,75,15,15,75,1.2,1.3,16,1.3,400,2.4,5,25,550,3.3,130,38,ND,16,1.6,52,0,0,1,0,0,0
19–30 ,"1,000",35,900,4,150,8,400,2.3,45,700,55,11,4.7,1.5,2.3,900,90,15,15,120,1.2,1.3,16,1.3,400,2.4,5,30,550,3.7,130,38,ND,17,1.6,56,0,0,1,0,0,0
31–50 ,"1,000",35,900,4,150,8,420,2.3,45,700,55,11,4.7,1.5,2.3,900,90,15,15,120,1.2,1.3,16,1.3,400,2.4,5,30,550,3.7,130,38,ND,17,1.6,56,0,0,1,0,0,0
51–70 ,"1,000",30,900,4,150,8,420,2.3,45,700,55,11,4.7,1.3,2,900,90,15,15,120,1.2,1.3,16,1.7,400,2.4h,5,30,550,3.7,130,30,ND,14,1.6,56,0,0,1,0,0,0
70,"1,200",30,900,4,150,8,420,2.3,45,700,55,11,4.7,1.2,1.8,900,90,20,15,120,1.2,1.3,16,1.7,400,2.4h,5,30,550,3.7,130,30,ND,14,1.6,56,0,0,1,0,0,0
